TimeWindow  TotalIterations  Iterations  Convergence  
353  707  2  1  
354  709  2  1  
355  711  2  1  
356  713  2  1  
357  715  2  1  
358  717  2  1  
359  719  2  1  
360  721  2  1  
361  723  2  1  
362  725  2  1  
363  727  2  1  
364  729  2  1  
365  731  2  1  
366  733  2  1  
367  735  2  1  
368  737  2  1  
369  739  2  1  
370  741  2  1  
371  743  2  1  
372  745  2  1  
373  747  2  1  
374  749  2  1  
375  751  2  1  
376  753  2  1  
377  755  2  1  
378  757  2  1  
379  759  2  1  
380  761  2  1  
381  763  2  1  
382  765  2  1  
383  767  2  1  
384  769  2  1  
385  771  2  1  
386  773  2  1  
387  775  2  1  
388  777  2  1  
389  779  2  1  
390  781  2  1  
391  783  2  1  
392  785  2  1  
393  787  2  1  
394  789  2  1  
395  791  2  1  
396  793  2  1  
397  795  2  1  
398  797  2  1  
399  799  2  1  
400  801  2  1  
401  803  2  1  
402  805  2  1  
403  807  2  1  
404  809  2  1  
405  811  2  1  
406  813  2  1  
407  815  2  1  
408  817  2  1  
409  819  2  1  
410  821  2  1  
411  823  2  1  
412  825  2  1  
413  827  2  1  
414  829  2  1  
415  831  2  1  
416  833  2  1  
417  835  2  1  
418  837  2  1  
419  839  2  1  
420  841  2  1  
421  843  2  1  
422  845  2  1  
423  847  2  1  
424  849  2  1  
425  851  2  1  
426  853  2  1  
427  855  2  1  
428  857  2  1  
429  859  2  1  
430  861  2  1  
431  863  2  1  
432  865  2  1  
433  867  2  1  
434  869  2  1  
435  871  2  1  
436  873  2  1  
437  875  2  1  
438  877  2  1  
439  879  2  1  
440  881  2  1  
441  883  2  1  
442  885  2  1  
443  887  2  1  
444  889  2  1  
445  891  2  1  
446  893  2  1  
447  895  2  1  
448  897  2  1  
449  899  2  1  
450  901  2  1  
451  903  2  1  
452  905  2  1  
453  907  2  1  
454  909  2  1  
455  911  2  1  
456  913  2  1  
457  915  2  1  
458  917  2  1  
459  919  2  1  
460  921  2  1  
461  923  2  1  
462  925  2  1  
463  927  2  1  
464  929  2  1  
465  931  2  1  
466  933  2  1  
467  935  2  1  
468  937  2  1  
469  939  2  1  
470  941  2  1  
471  943  2  1  
472  945  2  1  
473  947  2  1  
474  949  2  1  
475  951  2  1  
476  953  2  1  
477  955  2  1  
478  957  2  1  
479  959  2  1  
480  961  2  1  
481  963  2  1  
482  965  2  1  
483  967  2  1  
484  969  2  1  
485  971  2  1  
486  973  2  1  
487  975  2  1  
488  977  2  1  
489  979  2  1  
490  981  2  1  
491  983  2  1  
492  985  2  1  
493  987  2  1  
494  989  2  1  
495  991  2  1  
496  993  2  1  
497  995  2  1  
498  997  2  1  
499  999  2  1  
500  1001  2  1  
501  1003  2  1  
502  1005  2  1  
503  1007  2  1  
504  1009  2  1  
505  1011  2  1  
506  1013  2  1  
507  1015  2  1  
508  1017  2  1  
509  1019  2  1  
510  1021  2  1  
511  1023  2  1  
512  1025  2  1  
513  1027  2  1  
514  1029  2  1  
515  1031  2  1  
516  1033  2  1  
517  1035  2  1  
518  1037  2  1  
519  1039  2  1  
520  1041  2  1  
521  1043  2  1  
522  1045  2  1  
